Sale_ID,Brand,Region,Sales_Channel,Payment_Method,Date,Unit_Price,Warranty_Years,Software_Update
S0016248,OnePlus Nord,South America,Online,Credit Card,20-06-2023,74000,3,5
S0016252,Apple iPhone,Europe,Retail Store,Debit Card,30-04-2022,32000,2,2
S0016254,Realme,North America,Online,Credit Card,18-09-2023,66000,3,4
S0016257,Realme,North America,Retail Store,UPI,11-11-2022,64000,3,4
S0016258,OnePlus Nord,Africa,Retail Store,UPI,15-07-2023,57000,2,4
S0016259,Samsung Galaxy,Asia,Online,Credit Card,08-06-2023,24000,1,1
S0016260,Samsung Galaxy,Africa,Wholesale,Debit Card,24-01-2023,55000,2,3
S0016261,Apple iPhone,Asia,Online,Credit Card,07-05-2022,33000,2,2
S0016264,Samsung Galaxy,Africa,Retail Store,UPI,17-09-2022,28000,1,2
S0016267,OnePlus Nord,Africa,Retail Store,UPI,31-01-2023,27000,1,2
S0016269,Samsung Galaxy,South America,Retail Store,UPI,13-06-2023,12000,1,0
S0016270,OnePlus Nord,Africa,Retail Store,UPI,13-01-2022,65000,3,4
S0016271,Samsung Galaxy,Europe,Retail Store,Net Banking,11-11-2022,74000,3,5
S0016272,OnePlus Nord,South America,Retail Store,UPI,19-08-2022,37000,2,2
S0016274,Xiaomi (India),Asia,Retail Store,UPI,05-11-2022,65000,3,4
S0016276,Samsung Galaxy,Europe,Online,Credit Card,10-12-2022,42000,2,3
S0016279,Apple iPhone,South America,Online,Credit Card,19-02-2023,65000,3,4
S0016280,Samsung Galaxy,Africa,Retail Store,UPI,12-04-2023,12000,1,0
S0016281,Realme,Asia,Retail Store,UPI,23-09-2022,39000,2,2
S0016284,Samsung Galaxy,Asia,Online,Credit Card,03-10-2022,66000,3,4
S0016286,Apple iPhone,North America,Retail Store,UPI,23-01-2023,48000,2,3
S0016287,Apple iPhone,Asia,Retail Store,UPI,16-08-2022,57000,2,4
S0016288,Realme,South America,Retail Store,UPI,04-01-2023,20000,1,1
S0016289,Realme,Europe,Retail Store,UPI,07-01-2022,43000,2,3
S0016290,Samsung Galaxy,Europe,Retail Store,UPI,24-11-2023,79000,3,5
S0016293,OnePlus Nord,Europe,Wholesale,Debit Card,29-07-2022,54000,2,3
S0016296,Samsung Galaxy,Europe,Online,Credit Card,19-02-2023,72000,3,5
S0016298,Xiaomi (India),Africa,Online,Credit Card,26-09-2022,86000,3,6
S0016299,Xiaomi (India),North America,Retail Store,UPI,10-09-2022,32000,2,2
S0016300,OnePlus Nord,North America,Retail Store,UPI,17-12-2022,54000,2,3
S0016305,Xiaomi (India),Asia,Retail Store,UPI,21-07-2022,33000,2,2
S0016307,Xiaomi (India),Africa,Online,Debit Card,19-10-2023,79000,3,5
S0016308,Xiaomi (India),North America,Retail Store,UPI,11-09-2022,76000,3,5
S0016309,Apple iPhone,Europe,Retail Store,UPI,13-05-2022,86000,3,6
S0016311,Realme,Africa,Retail Store,UPI,12-01-2023,79000,3,5
S0016312,Samsung Galaxy,South America,Retail Store,UPI,18-08-2023,86000,3,6
S0016314,Samsung Galaxy,South America,Online,Credit Card,31-01-2022,65000,3,4
S0016315,Realme,South America,Retail Store,UPI,12-11-2023,11000,1,0
S0016316,Xiaomi (India),South America,Retail Store,UPI,12-09-2023,57000,2,4
S0016319,Realme,Asia,Online,Credit Card,31-10-2023,64000,3,4
S0016321,Realme,South America,Retail Store,Credit Card,02-10-2023,65000,3,4
S0016322,Realme,Europe,Retail Store,UPI,30-05-2022,72000,3,5
S0016324,Samsung Galaxy,North America,Retail Store,UPI,03-03-2023,65000,3,4
S0016325,Xiaomi (India),South America,Retail Store,UPI,15-07-2023,27000,1,2
S0016327,Samsung Galaxy,Asia,Retail Store,UPI,05-10-2023,57000,2,4
S0016328,Apple iPhone,Africa,Online,Credit Card,14-10-2022,32000,2,2
S0016329,Realme,Europe,Online,Net Banking,05-07-2023,28000,1,2
S0016331,Apple iPhone,Asia,Wholesale,Net Banking,31-08-2023,48000,2,3
S0016334,Xiaomi (India),Europe,Retail Store,UPI,02-10-2023,43000,2,3
S0016336,Apple iPhone,Asia,Retail Store,UPI,26-10-2022,11000,1,0
S0016342,Samsung Galaxy,Europe,Retail Store,UPI,25-11-2022,86000,3,6
S0016345,Xiaomi (India),North America,Retail Store,Credit Card,26-09-2023,40000,2,2
S0016347,Apple iPhone,Europe,Online,Debit Card,21-05-2023,55000,2,3
S0016348,Apple iPhone,Asia,Retail Store,UPI,31-01-2022,85000,3,5
S0016350,Realme,Asia,Retail Store,Cash,19-12-2022,37000,2,2
S0016351,Samsung Galaxy,Europe,Retail Store,UPI,05-06-2023,65000,3,4
S0016352,OnePlus Nord,Africa,Wholesale,Net Banking,22-03-2022,79000,3,5
S0016353,Xiaomi (India),North America,Retail Store,UPI,17-12-2023,40000,2,2
S0016354,Realme,Europe,Wholesale,Credit Card,05-04-2022,85000,3,5
S0016357,Realme,North America,Retail Store,UPI,11-11-2022,54000,2,3
S0016358,Xiaomi (India),Europe,Retail Store,UPI,01-06-2022,76000,3,5
S0016360,OnePlus Nord,North America,Retail Store,UPI,05-12-2022,79000,3,5
S0016361,OnePlus Nord,North America,Retail Store,UPI,02-01-2023,42000,2,3
S0016362,Realme,North America,Retail Store,UPI,16-01-2023,86000,3,6
S0016363,OnePlus Nord,Asia,Retail Store,UPI,19-01-2022,84000,3,5
S0016365,Realme,Africa,Online,Credit Card,15-02-2023,48000,2,3
S0016366,Realme,Europe,Retail Store,UPI,29-05-2023,11000,1,0
S0016369,Xiaomi (India),South America,Retail Store,UPI,05-11-2022,54000,2,3
S0016370,Xiaomi (India),Africa,Online,Credit Card,27-11-2022,66000,3,4
S0016371,OnePlus Nord,Africa,Retail Store,UPI,18-03-2022,43000,2,3
S0016374,Xiaomi (India),Asia,Online,Credit Card,28-08-2023,84000,3,5
S0016375,Apple iPhone,North America,Retail Store,UPI,07-07-2022,76000,3,5
S0016377,OnePlus Nord,South America,Retail Store,UPI,27-08-2023,79000,3,5
S0016379,Samsung Galaxy,Asia,Retail Store,UPI,01-07-2023,64000,3,4
S0016380,Realme,Africa,Retail Store,Cash,08-09-2023,85000,3,5
S0016381,Realme,Asia,Online,Credit Card,15-04-2022,11000,1,0
S0016383,OnePlus Nord,Europe,Retail Store,UPI,15-08-2023,12000,1,0
S0016385,Apple iPhone,Africa,Retail Store,UPI,21-11-2023,29000,1,2
S0016386,Apple iPhone,North America,Wholesale,UPI,03-08-2023,76000,3,5
S0016387,OnePlus Nord,Asia,Retail Store,UPI,22-04-2022,33000,2,2
S0016388,Xiaomi (India),Europe,Retail Store,UPI,18-02-2023,40000,2,2
S0016390,Realme,South America,Retail Store,UPI,04-06-2022,66000,3,4
S0016391,Realme,Africa,Retail Store,UPI,22-06-2022,65000,3,4
S0016392,Xiaomi (India),South America,Retail Store,UPI,04-05-2022,74000,3,5
S0016395,Xiaomi (India),Europe,Retail Store,Net Banking,29-12-2022,84000,3,5
S0016396,OnePlus Nord,Africa,Retail Store,UPI,23-08-2022,85000,3,5
S0016399,OnePlus Nord,Africa,Retail Store,UPI,20-02-2022,84000,3,5
S0016402,Apple iPhone,South America,Retail Store,UPI,03-04-2022,48000,2,3
S0016403,Apple iPhone,Asia,Retail Store,UPI,22-07-2022,76000,3,5
S0016404,Realme,North America,Retail Store,UPI,19-04-2022,70000,3,4
S0016405,Samsung Galaxy,Europe,Retail Store,UPI,01-09-2022,42000,2,3
S0016406,Samsung Galaxy,Africa,Online,Credit Card,13-05-2022,64000,3,4
S0016407,Samsung Galaxy,Asia,Online,Credit Card,18-09-2022,28000,1,2
S0016408,Apple iPhone,Africa,Retail Store,UPI,23-06-2023,74000,3,5
S0016411,OnePlus Nord,Europe,Retail Store,UPI,16-02-2022,60000,3,4
S0016412,Apple iPhone,Asia,Retail Store,UPI,21-04-2023,54000,2,3
S0016413,Samsung Galaxy,South America,Retail Store,UPI,13-01-2022,11000,1,0
S0016418,Apple iPhone,North America,Online,Credit Card,11-04-2022,72000,3,5
S0016419,OnePlus Nord,Asia,Retail Store,UPI,03-05-2023,27000,1,2
S0016422,Xiaomi (India),Europe,Retail Store,UPI,25-11-2023,43000,2,3
S0016423,OnePlus Nord,Asia,Retail Store,UPI,14-01-2023,54000,2,3
S0016424,Samsung Galaxy,Africa,Retail Store,UPI,07-02-2022,24000,1,1
S0016425,Realme,Europe,Retail Store,UPI,15-07-2022,79000,3,5
S0016426,Realme,Africa,Retail Store,UPI,13-11-2023,57000,2,4
S0016429,OnePlus Nord,Africa,Retail Store,UPI,03-06-2022,20000,1,1
S0016433,OnePlus Nord,North America,Retail Store,UPI,01-05-2022,57000,2,4
S0016435,OnePlus Nord,North America,Online,Credit Card,17-08-2022,72000,3,5
S0016436,Realme,South America,Online,Credit Card,04-06-2022,84000,3,5
S0016438,Realme,Asia,Online,Debit Card,31-08-2023,37000,2,2
S0016439,Realme,Asia,Online,Credit Card,02-06-2022,72000,3,5
S0016441,OnePlus Nord,South America,Online,Credit Card,03-10-2022,39000,2,2
S0016443,Realme,Asia,Retail Store,UPI,12-08-2023,40000,2,2
S0016447,Realme,South America,Online,Credit Card,03-06-2022,11000,1,0
S0016448,Xiaomi (India),South America,Retail Store,UPI,16-09-2022,20000,1,1
S0016449,Xiaomi (India),South America,Retail Store,UPI,24-04-2022,43000,2,3
S0016450,Apple iPhone,Africa,Online,Credit Card,09-05-2023,74000,3,5
S0016459,Xiaomi (India),South America,Wholesale,Net Banking,22-03-2022,85000,3,5
S0016460,Samsung Galaxy,Asia,Retail Store,UPI,21-06-2023,29000,1,2
S0016461,Realme,Europe,Online,Credit Card,29-11-2023,79000,3,5
S0016463,OnePlus Nord,Asia,Online,UPI,02-01-2023,54000,2,3
S0016464,Realme,Europe,Online,Credit Card,15-09-2023,79000,3,5
S0016465,OnePlus Nord,Africa,Retail Store,UPI,17-06-2023,42000,2,3
S0016466,OnePlus Nord,South America,Online,Credit Card,05-10-2023,57000,2,4
S0016467,Xiaomi (India),North America,Retail Store,UPI,20-09-2022,54000,2,3
S0016468,Apple iPhone,North America,Retail Store,UPI,12-01-2022,60000,3,4
S0016469,Realme,Europe,Retail Store,UPI,16-01-2022,64000,3,4
S0016470,Apple iPhone,South America,Retail Store,UPI,07-12-2022,64000,3,4
S0016472,Xiaomi (India),Europe,Online,Debit Card,12-04-2023,39000,2,2
S0016473,Samsung Galaxy,North America,Online,UPI,07-11-2023,11000,1,0
S0016474,Apple iPhone,North America,Retail Store,UPI,29-11-2023,37000,2,2
S0016476,Apple iPhone,Africa,Retail Store,UPI,20-05-2022,20000,1,1
S0016477,Realme,Africa,Retail Store,UPI,09-11-2022,84000,3,5
S0016478,Samsung Galaxy,South America,Retail Store,UPI,15-10-2023,43000,2,3
S0016480,Realme,North America,Online,Credit Card,13-07-2022,72000,3,5
S0016481,Apple iPhone,Africa,Retail Store,UPI,20-05-2022,40000,2,2
S0016482,Xiaomi (India),Europe,Wholesale,Net Banking,24-12-2022,11000,1,0
S0016485,OnePlus Nord,North America,Retail Store,Cash,12-09-2022,27000,1,2
S0016487,Apple iPhone,Europe,Retail Store,UPI,28-08-2023,55000,2,3
S0016488,Xiaomi (India),South America,Retail Store,UPI,05-06-2023,48000,2,3
S0016490,Xiaomi (India),Africa,Retail Store,UPI,23-12-2023,85000,3,5
S0016491,OnePlus Nord,Africa,Retail Store,UPI,22-09-2022,39000,2,2
S0016493,Samsung Galaxy,Europe,Retail Store,UPI,10-04-2023,74000,3,5
S0016496,Realme,South America,Retail Store,UPI,26-05-2023,24000,1,1
S0016500,Realme,South America,Retail Store,UPI,19-12-2022,65000,3,4
S0016501,Samsung Galaxy,South America,Retail Store,UPI,21-03-2023,54000,2,3
S0016502,Samsung Galaxy,Europe,Online,Credit Card,14-05-2022,27000,1,2
S0016503,Apple iPhone,Africa,Retail Store,UPI,27-07-2022,84000,3,5
S0016505,Realme,Asia,Retail Store,UPI,17-01-2022,85000,3,5
S0016506,Samsung Galaxy,North America,Online,Credit Card,28-06-2022,85000,3,5
S0016507,Realme,Asia,Retail Store,UPI,05-04-2023,24000,1,1
S0016508,Realme,Asia,Retail Store,UPI,10-01-2022,74000,3,5
S0016509,Realme,Asia,Online,Debit Card,17-08-2022,86000,3,6
S0016510,Realme,Europe,Retail Store,UPI,16-10-2022,43000,2,3
S0016511,Apple iPhone,Africa,Retail Store,UPI,28-07-2022,65000,3,4
S0016512,OnePlus Nord,South America,Wholesale,Cash,28-06-2023,37000,2,2
S0016513,Realme,North America,Retail Store,UPI,10-09-2022,11000,1,0
S0016514,Samsung Galaxy,North America,Retail Store,UPI,22-03-2023,33000,2,2
S0016515,Samsung Galaxy,Europe,Wholesale,Credit Card,02-08-2022,79000,3,5
S0016516,Samsung Galaxy,North America,Retail Store,Debit Card,16-11-2022,60000,3,4
S0016518,Realme,Asia,Online,Credit Card,20-10-2022,42000,2,3
S0016520,Apple iPhone,Africa,Retail Store,UPI,30-03-2023,32000,2,2
S0016521,Realme,Europe,Retail Store,UPI,08-06-2022,32000,2,2
S0016522,Xiaomi (India),Asia,Online,Debit Card,12-06-2022,66000,3,4
S0016528,Xiaomi (India),North America,Retail Store,UPI,28-05-2023,42000,2,3
S0016530,Samsung Galaxy,Africa,Retail Store,UPI,29-09-2022,86000,3,6
S0016531,OnePlus Nord,Asia,Retail Store,UPI,10-02-2023,74000,3,5
S0016532,Realme,Africa,Retail Store,UPI,25-08-2023,57000,2,4
S0016533,OnePlus Nord,Asia,Retail Store,UPI,06-06-2023,54000,2,3
S0016535,Samsung Galaxy,Europe,Retail Store,UPI,17-03-2023,84000,3,5
S0016537,Apple iPhone,Europe,Retail Store,UPI,05-09-2022,48000,2,3
S0016539,OnePlus Nord,Asia,Retail Store,UPI,21-01-2022,29000,1,2
S0016541,Xiaomi (India),Europe,Retail Store,UPI,29-12-2023,72000,3,5
S0016542,OnePlus Nord,Europe,Online,Credit Card,08-08-2022,84000,3,5
S0016543,Apple iPhone,North America,Retail Store,UPI,14-05-2022,74000,3,5
S0016544,Xiaomi (India),Africa,Online,Credit Card,12-05-2022,72000,3,5
S0016547,Realme,South America,Online,Net Banking,14-03-2023,37000,2,2
S0016548,Realme,Africa,Online,Credit Card,24-06-2022,43000,2,3
S0016549,Xiaomi (India),Asia,Retail Store,UPI,26-08-2023,37000,2,2
S0016550,Xiaomi (India),South America,Online,Credit Card,25-11-2022,86000,3,6
S0016552,Realme,Asia,Retail Store,UPI,11-09-2023,40000,2,2
S0016554,Apple iPhone,Africa,Retail Store,UPI,29-07-2023,66000,3,4
S0016556,Apple iPhone,Europe,Online,Cash,07-06-2023,84000,3,5
S0016558,Realme,Africa,Retail Store,UPI,09-05-2023,33000,2,2
S0016560,Apple iPhone,North America,Online,Credit Card,03-07-2023,76000,3,5
S0016561,Xiaomi (India),South America,Retail Store,UPI,28-01-2022,12000,1,0
S0016562,Realme,Asia,Retail Store,UPI,08-11-2022,37000,2,2
S0016563,Samsung Galaxy,Asia,Retail Store,UPI,28-11-2022,74000,3,5
S0016564,Samsung Galaxy,Asia,Retail Store,UPI,31-01-2023,29000,1,2
S0016569,Realme,North America,Retail Store,UPI,16-12-2023,29000,1,2
S0016570,OnePlus Nord,South America,Retail Store,UPI,15-03-2023,65000,3,4
S0016571,Realme,South America,Wholesale,Debit Card,05-12-2023,42000,2,3
S0016572,Apple iPhone,South America,Retail Store,UPI,11-11-2022,32000,2,2
S0016577,Apple iPhone,South America,Retail Store,UPI,04-12-2023,27000,1,2
S0016580,OnePlus Nord,North America,Retail Store,UPI,17-06-2023,76000,3,5
S0016582,Realme,Europe,Online,Credit Card,28-02-2023,11000,1,0
S0016584,Xiaomi (India),Europe,Online,UPI,17-11-2023,40000,2,2
S0016585,Xiaomi (India),Asia,Retail Store,Cash,11-02-2023,28000,1,2
S0016586,Realme,Asia,Retail Store,UPI,27-10-2023,86000,3,6
S0016587,Apple iPhone,South America,Retail Store,Debit Card,19-12-2022,55000,2,3
S0016588,OnePlus Nord,Africa,Retail Store,UPI,19-10-2023,43000,2,3
S0016589,OnePlus Nord,Europe,Retail Store,UPI,23-07-2023,60000,3,4
S0016590,Samsung Galaxy,South America,Retail Store,UPI,04-03-2023,72000,3,5
S0016591,Apple iPhone,Africa,Wholesale,UPI,30-05-2023,40000,2,2
S0016592,Realme,South America,Online,Credit Card,07-07-2022,24000,1,1
S0016593,Apple iPhone,Africa,Online,Credit Card,23-08-2022,32000,2,2
S0016594,Apple iPhone,South America,Retail Store,UPI,08-11-2022,60000,3,4
S0016595,OnePlus Nord,Africa,Retail Store,UPI,09-10-2022,48000,2,3
S0016596,OnePlus Nord,Asia,Retail Store,UPI,17-01-2023,79000,3,5
S0016597,Apple iPhone,North America,Retail Store,UPI,26-01-2023,43000,2,3
S0016599,Samsung Galaxy,South America,Online,Cash,19-04-2023,11000,1,0
S0016600,Samsung Galaxy,North America,Retail Store,UPI,23-02-2023,74000,3,5
S0016601,OnePlus Nord,Asia,Online,Credit Card,03-08-2023,60000,3,4
S0016602,Xiaomi (India),North America,Retail Store,UPI,24-09-2023,79000,3,5
S0016606,Samsung Galaxy,Africa,Online,Credit Card,07-07-2023,72000,3,5
S0016608,Samsung Galaxy,South America,Retail Store,UPI,13-07-2023,85000,3,5
S0016609,Realme,North America,Retail Store,UPI,08-09-2022,12000,1,0
S0016611,OnePlus Nord,South America,Retail Store,UPI,11-11-2022,85000,3,5
S0016612,Xiaomi (India),South America,Online,Credit Card,27-02-2023,60000,3,4
S0016618,Xiaomi (India),South America,Retail Store,UPI,05-02-2022,24000,1,1
S0016619,OnePlus Nord,Europe,Retail Store,UPI,11-09-2023,39000,2,2
S0016621,Samsung Galaxy,Africa,Retail Store,UPI,07-07-2023,39000,2,2
S0016625,OnePlus Nord,Asia,Online,Credit Card,03-07-2022,12000,1,0
S0016626,Apple iPhone,Europe,Retail Store,UPI,17-06-2022,66000,3,4
S0016628,Xiaomi (India),Asia,Wholesale,Credit Card,08-09-2023,48000,2,3
S0016629,Samsung Galaxy,North America,Online,Credit Card,02-09-2022,66000,3,4
S0016630,Xiaomi (India),South America,Retail Store,UPI,07-04-2022,27000,1,2
S0016631,Samsung Galaxy,North America,Online,Debit Card,24-11-2023,32000,2,2
